case_id,activity,timestamp,resource
LOAN_001,Application Submitted,2024-04-01 10:00:00,Branch_Staff_A
LOAN_001,Document Collection,2024-04-01 11:30:00,Branch_Staff_A
LOAN_001,Initial Eligibility Check,2024-04-02 09:00:00,Credit_Officer_A
LOAN_001,CIBIL Score Verification,2024-04-02 14:00:00,System_Auto
LOAN_001,Field Verification,2024-04-04 10:00:00,Field_Agent_A
LOAN_001,Risk Assessment,2024-04-07 09:00:00,Risk_Manager
LOAN_001,Credit Committee Review,2024-04-10 14:00:00,Credit_Committee
LOAN_001,Loan Approved,2024-04-11 10:00:00,Branch_Manager
LOAN_001,Sanction Letter Issued,2024-04-11 15:00:00,Branch_Staff_A
LOAN_001,Disbursement,2024-04-13 11:00:00,Accounts_Team
LOAN_002,Application Submitted,2024-04-02 09:30:00,Branch_Staff_B
LOAN_002,Document Collection,2024-04-02 11:00:00,Branch_Staff_B
LOAN_002,Initial Eligibility Check,2024-04-03 10:00:00,Credit_Officer_B
LOAN_002,CIBIL Score Verification,2024-04-03 15:00:00,System_Auto
LOAN_002,Field Verification,2024-04-05 09:00:00,Field_Agent_B
LOAN_002,Risk Assessment,2024-04-09 10:00:00,Risk_Manager
LOAN_002,Credit Committee Review,2024-04-12 11:00:00,Credit_Committee
LOAN_002,Loan Approved,2024-04-13 09:00:00,Branch_Manager
LOAN_002,Sanction Letter Issued,2024-04-13 14:00:00,Branch_Staff_B
LOAN_002,Disbursement,2024-04-15 10:00:00,Accounts_Team
LOAN_003,Application Submitted,2024-04-03 14:00:00,Branch_Staff_A
LOAN_003,Document Collection,2024-04-05 09:00:00,Branch_Staff_A
LOAN_003,Initial Eligibility Check,2024-04-07 10:00:00,Credit_Officer_A
LOAN_003,CIBIL Score Verification,2024-04-07 16:00:00,System_Auto
LOAN_003,Field Verification,2024-04-10 09:00:00,Field_Agent_A
LOAN_003,Risk Assessment,2024-04-15 10:00:00,Risk_Manager
LOAN_003,Credit Committee Review,2024-04-19 14:00:00,Credit_Committee
LOAN_003,Loan Approved,2024-04-20 11:00:00,Branch_Manager
LOAN_003,Sanction Letter Issued,2024-04-21 09:00:00,Branch_Staff_A
LOAN_003,Disbursement,2024-04-23 14:00:00,Accounts_Team
LOAN_004,Application Submitted,2024-04-04 09:00:00,Branch_Staff_B
LOAN_004,Document Collection,2024-04-04 10:30:00,Branch_Staff_B
LOAN_004,Initial Eligibility Check,2024-04-05 09:00:00,Credit_Officer_B
LOAN_004,CIBIL Score Verification,2024-04-05 13:00:00,System_Auto
LOAN_004,Field Verification,2024-04-08 10:00:00,Field_Agent_B
LOAN_004,Risk Assessment,2024-04-11 09:00:00,Risk_Manager
LOAN_004,Credit Committee Review,2024-04-14 14:00:00,Credit_Committee
LOAN_004,Loan Approved,2024-04-15 10:00:00,Branch_Manager
LOAN_004,Sanction Letter Issued,2024-04-15 16:00:00,Branch_Staff_B
LOAN_004,Disbursement,2024-04-17 11:00:00,Accounts_Team
LOAN_005,Application Submitted,2024-04-05 11:00:00,Branch_Staff_A
LOAN_005,Document Collection,2024-04-08 09:00:00,Branch_Staff_A
LOAN_005,Initial Eligibility Check,2024-04-10 14:00:00,Credit_Officer_A
LOAN_005,CIBIL Score Verification,2024-04-11 09:00:00,System_Auto
LOAN_005,Field Verification,2024-04-15 10:00:00,Field_Agent_A
LOAN_005,Risk Assessment,2024-04-20 09:00:00,Risk_Manager
LOAN_005,Credit Committee Review,2024-04-24 14:00:00,Credit_Committee
LOAN_005,Loan Approved,2024-04-25 11:00:00,Branch_Manager
LOAN_005,Sanction Letter Issued,2024-04-26 09:00:00,Branch_Staff_A
LOAN_005,Disbursement,2024-04-28 14:00:00,Accounts_Team
LOAN_006,Application Submitted,2024-04-06 10:00:00,Branch_Staff_B
LOAN_006,Document Collection,2024-04-06 14:00:00,Branch_Staff_B
LOAN_006,Initial Eligibility Check,2024-04-08 09:00:00,Credit_Officer_B
LOAN_006,CIBIL Score Verification,2024-04-08 12:00:00,System_Auto
LOAN_006,Field Verification,2024-04-11 09:00:00,Field_Agent_B
LOAN_006,Risk Assessment,2024-04-14 10:00:00,Risk_Manager
LOAN_006,Credit Committee Review,2024-04-17 14:00:00,Credit_Committee
LOAN_006,Loan Approved,2024-04-18 10:00:00,Branch_Manager
LOAN_006,Sanction Letter Issued,2024-04-18 15:00:00,Branch_Staff_B
LOAN_006,Disbursement,2024-04-20 11:00:00,Accounts_Team
